Label,Ticker,Sector,Universe,CSV_Path,Resolved
DBREALTY,DBREALTY.NS,Realty,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Realty\dbrealty.csv,Y
VARROC,VARROC.NS,Automobile and Auto Components,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Automobile_and_Auto_Components\varroc.csv,Y
MANYAVAR,MANYAVAR.NS,Consumer Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Services\manyavar.csv,Y
VIKRAMSOLR,VIKRAMSOLR.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\vikramsolr.csv,Y
VIYASH,VIYASH.NS,Healthcare,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Healthcare\viyash.csv,Y
VOLTAMP,VOLTAMP.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\voltamp.csv,Y
WAAREERTL,WAAREERTL.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\waareertl.csv,Y
WAKEFIT,WAKEFIT.NS,Consumer Durables,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Durables\wakefit.csv,Y
WEWORK,WEWORK.NS,Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Services\wework.csv,Y
WEBELSOLAR,WEBELSOLAR.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\webelsolar.csv,Y
WELENT,WELENT.NS,Construction,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Construction\welent.csv,Y
WESTLIFE,WESTLIFE.NS,Consumer Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Services\westlife.csv,Y
YATHARTH,YATHARTH.NS,Healthcare,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Healthcare\yatharth.csv,Y
ZAGGLE,ZAGGLE.NS,Information Technology,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Information_Technology\zaggle.csv,Y
